code,name,pinyin
410100,郑州,zheng zhou
410300,洛阳,luo yang
411300,南阳,nan yang
430100,长沙,chang sha
810000,香港,xiang gang
130400,邯郸,han dan
430400,衡阳,heng yang
511300,南充,nan chong
450300,桂林,gui lin
460200,三亚,san ya
130900,沧州,cang zhou
130600,保定,bao ding
460100,海口,hai kou
510100,成都,cheng du
210100,沈阳,shen yang
371300,临沂,lin yi
610100,西安,xi an
450200,柳州,liu zhou
510600,德阳,de yang
370100,济南,ji nan
350100,福州,fu zhou
510700,绵阳,mian yang
230100,哈尔滨,ha er bin
220100,长春,chang chun
420100,武汉,wu han
410700,新乡,xin xiang
610400,咸阳,xian yang
320100,南京,nan jing
530100,昆明,kun ming
640100,银川,yin chuan
630100,西宁,xi ning
440900,茂名,mao ming
620100,兰州,lan zhou
370900,泰安,tai an
130500,邢台,xing tai
441800,清远,qing yuan
500000,重庆,chong qing
440500,汕头,shan tou
371400,德州,de zhou
150100,呼和浩特,hu he hao te
450100,南宁,nan ning
440800,湛江,zhan jiang
130100,石家庄,shi jia zhuang
130700,张家口,zhang jia kou
360700,赣州,gan zhou
350600,漳州,zhang zhou
210200,大连,da lian
440100,广州,guang zhou
320900,盐城,yan cheng
370200,青岛,qing dao
340100,合肥,he fei
140200,大同,da tong
330700,金华,jin hua
360100,南昌,nan chang
330800,衢州,qu zhou
330300,温州,wen zhou
110000,北京,bei jing
330100,杭州,hang zhou
520100,贵阳,gui yang
320700,连云港,lian yun gang
341100,滁州,chu zhou
370700,潍坊,wei fang
654000,伊犁,yi li
440200,韶关,shao guan
321300,宿迁,su qian
320300,徐州,xu zhou
440400,珠海,zhu hai
350500,泉州,quan zhou
321000,扬州,yang zhou
131000,廊坊,lang fang
130200,唐山,tang shan
370800,济宁,ji ning
140100,太原,tai yuan
440300,深圳,shen zuo
321100,镇江,zhen jiang
441200,肇庆,zhao qing
350200,厦门,xia men
370300,淄博,zi bo
310000,上海,shang hai
331000,台州,tai zhou
650100,乌鲁木齐,wu lu mu qi
441300,惠州,hui zhou
330200,宁波,ning bo
340200,芜湖,wu hu
370600,烟台,yan tai
120000,天津,tian jin
320800,淮安,huai an
440600,佛山,fo shan
330400,嘉兴,jia xing
320400,常州,chang zhou
440700,江门,jiang men
330500,湖州,hu zhou
320600,南通,nan tong
321200,泰州,tai zhou
330600,绍兴,shao xing
320500,苏州,su zhou
320200,无锡,wu xi
442000,中山,zhong shan
150600,鄂尔多斯,e er duo si
441900,东莞,dong zuo
