timestamp,value,type,code,city
1706774400000,1.48,1,110000,北京
1706778000000,1.76,1,110000,北京
1706781600000,1.89,1,110000,北京
1706785200000,1.5,1,110000,北京
1706788800000,1.34,1,110000,北京
1706792400000,1.3,1,110000,北京
1706796000000,1.22,1,110000,北京
1706799600000,1.12,1,110000,北京
1706803200000,1.09,1,110000,北京
1706806800000,1.06,1,110000,北京
1706810400000,1.04,1,110000,北京
1706814000000,1.03,1,110000,北京
1706817600000,1.02,1,110000,北京
1706821200000,1.03,1,110000,北京
1706824800000,1.12,1,110000,北京
1706828400000,1.34,1,110000,北京
1706832000000,1.6,1,110000,北京
1706835600000,1.53,1,110000,北京
1706839200000,1.49,1,110000,北京
1706842800000,1.4,1,110000,北京
1706846400000,1.31,1,110000,北京
1706850000000,1.33,1,110000,北京
1706853600000,1.41,1,110000,北京
1706857200000,1.41,1,110000,北京
1706860800000,1.47,1,110000,北京
1706864400000,1.87,1,110000,北京
1706868000000,1.96,1,110000,北京
1706871600000,1.52,1,110000,北京
1706875200000,1.34,1,110000,北京
1706878800000,1.29,1,110000,北京
1706882400000,1.22,1,110000,北京
1706886000000,1.12,1,110000,北京
1706889600000,1.09,1,110000,北京
1706893200000,1.07,1,110000,北京
1706896800000,1.05,1,110000,北京
1706900400000,1.04,1,110000,北京
1706904000000,1.02,1,110000,北京
1706907600000,1.03,1,110000,北京
1706911200000,1.09,1,110000,北京
1706914800000,1.13,1,110000,北京
1706918400000,1.18,1,110000,北京
1706922000000,1.35,1,110000,北京
1706925600000,1.6,1,110000,北京
1706929200000,1.65,1,110000,北京
1706936400000,1.43,1,110000,北京
1706940000000,1.59,1,110000,北京
1706943600000,1.72,1,110000,北京
1706947200000,1.73,1,110000,北京
1706950800000,1.74,1,110000,北京
1706954400000,1.55,1,110000,北京
1706958000000,1.32,1,110000,北京
1706961600000,1.24,1,110000,北京
1706965200000,1.2,1,110000,北京
1706968800000,1.15,1,110000,北京
1706972400000,1.09,1,110000,北京
1706976000000,1.06,1,110000,北京
1706979600000,1.04,1,110000,北京
1706983200000,1.03,1,110000,北京
1706986800000,1.02,1,110000,北京
1706990400000,1.01,1,110000,北京
1706994000000,1.02,1,110000,北京
1706997600000,1.09,1,110000,北京
1707001200000,1.31,1,110000,北京
1707004800000,1.58,1,110000,北京
1707008400000,1.5,1,110000,北京
1707012000000,1.44,1,110000,北京
1707015600000,1.32,1,110000,北京
1706774400000,1.35,1,120000,天津
1706778000000,1.59,1,120000,天津
1706781600000,1.67,1,120000,天津
1706785200000,1.33,1,120000,天津
1706788800000,1.23,1,120000,天津
1706792400000,1.18,1,120000,天津
1706796000000,1.12,1,120000,天津
1706799600000,1.07,1,120000,天津
1706803200000,1.05,1,120000,天津
1706806800000,1.04,1,120000,天津
1706810400000,1.04,1,120000,天津
1706814000000,1.03,1,120000,天津
1706817600000,1.03,1,120000,天津
1706821200000,1.04,1,120000,天津
1706824800000,1.12,1,120000,天津
1706828400000,1.27,1,120000,天津
1706832000000,1.42,1,120000,天津
1706835600000,1.39,1,120000,天津
1706839200000,1.55,1,120000,天津
1706842800000,1.4,1,120000,天津
1706846400000,1.37,1,120000,天津
1706850000000,1.27,1,120000,天津
1706853600000,1.29,1,120000,天津
1706857200000,1.3,1,120000,天津
1706860800000,1.34,1,120000,天津
1706864400000,1.6,1,120000,天津
1706868000000,1.67,1,120000,天津
1706871600000,1.34,1,120000,天津
1706875200000,1.24,1,120000,天津
1706878800000,1.19,1,120000,天津
1706882400000,1.13,1,120000,天津
1706886000000,1.08,1,120000,天津
1706889600000,1.05,1,120000,天津
